Order ID,Order Date,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-26055,10-03-2024,Uttar Pradesh,Mathura,5729,64,14,Furniture,Chairs,EMI
B-26055,10-03-2024,Uttar Pradesh,Mathura,671,114,9,Electronics,Phones,Credit Card
B-26055,10-03-2023,Uttar Pradesh,Mathura,443,11,1,Clothing,Saree,COD
B-26055,10-03-2024,Uttar Pradesh,Mathura,57,7,2,Clothing,Shirt,UPI
B-26055,10-03-2024,Uttar Pradesh,Mathura,227,48,5,Clothing,Stole,COD
B-26055,10-03-2023,Uttar Pradesh,Mathura,213,4,14,Clothing,Shirt,COD
B-26055,10-03-2024,Uttar Pradesh,Mathura,94,27,2,Clothing,T-shirt,COD
B-26055,10-03-2023,Uttar Pradesh,Mathura,1250,-12,2,Electronics,Printers,EMI
B-26055,10-03-2023,Uttar Pradesh,Mathura,1218,-420,8,Furniture,Bookcases,COD
B-25993,03-02-2024,Delhi,Delhi,610,208,3,Electronics,Printers,COD
B-25993,03-02-2023,Delhi,Delhi,414,199,3,Electronics,Phones,COD
B-25993,03-02-2024,Delhi,Delhi,44,8,2,Clothing,Stole,COD
B-25993,03-02-2024,Delhi,Delhi,173,86,1,Electronics,Printers,Debit Card
B-25993,03-02-2023,Delhi,Delhi,221,26,7,Furniture,Furnishings,COD
B-25993,03-02-2023,Delhi,Delhi,201,32,4,Furniture,Furnishings,UPI
B-25993,03-02-2024,Delhi,Delhi,4363,305,5,Furniture,Tables,EMI
B-25973,24-01-2023,Uttar Pradesh,Mathura,398,111,8,Clothing,Hankerchief,COD
B-25973,24-01-2024,Uttar Pradesh,Mathura,79,39,2,Clothing,Shirt,Debit Card
B-25973,24-01-2023,Uttar Pradesh,Mathura,39,14,5,Clothing,Leggings,COD
B-25973,24-01-2024,Uttar Pradesh,Mathura,571,108,12,Clothing,Stole,Debit Card
B-25973,24-01-2023,Uttar Pradesh,Mathura,4141,1698,13,Electronics,Printers,COD
B-25923,27-12-2023,Maharashtra,Mumbai,3873,-891,6,Electronics,Phones,Credit Card
B-25923,27-12-2024,Maharashtra,Mumbai,253,-11,1,Clothing,Trousers,Debit Card
B-25923,27-12-2023,Maharashtra,Mumbai,226,58,3,Electronics,Accessories,COD
B-25923,27-12-2024,Maharashtra,Mumbai,484,28,3,Electronics,Printers,Debit Card
B-25757,21-08-2024,Madhya Pradesh,Indore,17,-13,4,Clothing,Skirt,Debit Card
